10	300
donaldrumsfeld	donaldrumsfeld_2003_03_12_19_00-shot12_50-Track1-Frame15252-Face1	donaldrumsfeld_2003_11_07_19_00-shot07_27-Track1-Frame7927-Face1
nariakinakayama	nariakinakayama_2008_09_26_19_00-shot26_58-Track2-Frame13983-Face1	nariakinakayama_2008_09_28_19_00-shot28_23-Track1-Frame5308-Face1
shinrikyoaum	shinrikyoaum_2004_07_07_19_00-shot07_67-Track1-Frame17656-Face1	shinrikyoaum_2006_09_15_19_00-shot15_59-Track1-Frame13672-Face1
shigeofukuchi	shigeofukuchi_2008_01_25_19_00-shot25_93-Track1-Frame30364-Face1	shigeofukuchi_2010_07_06_19_00-shot06_36-Track1-Frame11940-Face1
jrtokaibusstaff	jrtokaibusstaff_2007_04_10_19_00-shot10_75-Track1-Frame21519-Face1	jrtokaibusstaff_2008_07_17_19_00-shot17_35-Track1-Frame9425-Face1
moo-hyunroh	moo-hyunroh_2003_06_06_19_00-shot06_71-Track1-Frame18081-Face1	moo-hyunroh_2003_06_07_19_00-shot07_27-Track1-Frame5547-Face1
osamabinladen	osamabinladen_2001_09_27_19_00-shot27_67-Track1-Frame24420-Face2	osamabinladen_2001_12_17_19_00-shot17_91-Track1-Frame26282-Face1
banrikaieda	banrikaieda_2010_10_19_19_00-shot19_42-Track1-Frame15044-Face1	banrikaieda_2010_11_15_19_00-shot15_73-Track1-Frame40613-Face1
aifukuhara	aifukuhara_2004_08_19_19_00-shot19_197-Track1-Frame36582-Face1	aifukuhara_2004_12_06_19_00-shot06_148-Track1-Frame46852-Face1
hideohigashikokubaru	hideohigashikokubaru_2010_07_16_19_00-shot16_87-Track1-Frame29202-Face2	hideohigashikokubaru_2011_01_20_19_00-shot20_101-Track1-Frame37582-Face1
masayoshison	masayoshison_2005_03_26_19_00-shot26_55-Track1-Frame12382-Face1	masayoshison_2007_10_15_19_00-shot15_190-Track1-Frame47054-Face1
ichirosuzuki	ichirosuzuki_2001_12_09_19_00-shot09_105-Track1-Frame29614-Face1	ichirosuzuki_2002_01_17_19_00-shot17_39-Track1-Frame10287-Face1
barakobama	barakobama_2008_02_06_19_00-shot06_126-Track1-Frame34779-Face1	barakobama_2009_09_26_19_00-shot26_26-Track1-Frame5285-Face1
natsuoyamaguchi	natsuoyamaguchi_2010_02_10_19_00-shot10_36-Track1-Frame8556-Face1	natsuoyamaguchi_2010_03_03_19_00-shot03_18-Track1-Frame5091-Face1
ichiroozawa	ichiroozawa_2007_02_20_19_00-shot20_34-Track1-Frame5677-Face1	ichiroozawa_2008_08_19_19_00-shot19_191-Track1-Frame37966-Face1
azumakoshiishi	azumakoshiishi_2010_02_04_19_00-shot04_100-Track1-Frame18790-Face1	azumakoshiishi_2010_12_10_19_00-shot10_45-Track1-Frame24615-Face1
ryutarohashimoto	ryutarohashimoto_2004_11_30_19_00-shot30_42-Track1-Frame8279-Face2	ryutarohashimoto_2006_07_01_19_00-shot01_58-Track1-Frame8740-Face1
syunsaito	syunsaito_2008_02_08_19_00-shot08_18-Track1-Frame4830-Face1	syunsaito_2008_09_14_19_00-shot14_94-Track7-Frame25057-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_68-Track1-Frame17882-Face1	masakunimurakami_2001_03_26_19_00-shot26_64-Track1-Frame12566-Face1
shinzoabe	shinzoabe_2006_09_01_19_00-shot01_4-Track1-Frame293-Face1	shinzoabe_2007_06_18_19_00-shot18_6-Track1-Frame776-Face1
hidekimatsui	hidekimatsui_2004_09_30_19_00-shot30_161-Track1-Frame39208-Face1	hidekimatsui_2007_02_12_19_00-shot12_174-Track4-Frame44489-Face1
christopherhill	christopherhill_2006_12_20_19_00-shot20_62-Track1-Frame14193-Face1	christopherhill_2008_06_19_19_00-shot19_105-Track1-Frame26025-Face1
shin	shin_2010_05_17_19_00-shot17_47-Track1-Frame8467-Face1	shin_2010_05_25_19_00-shot25_8-Track2-Frame1828-Face1
takafumihorie	takafumihorie_2005_03_10_19_00-shot10_43-Track6-Frame12959-Face1	takafumihorie_2006_05_22_19_00-shot22_55-Track1-Frame16126-Face1
shintaroishihara	shintaroishihara_2008_03_28_19_00-shot28_156-Track1-Frame37427-Face1	shintaroishihara_2010_04_10_19_00-shot10_73-Track1-Frame12658-Face1
yoichimasuzoe	yoichimasuzoe_2008_01_19_19_00-shot19_39-Track1-Frame10105-Face1	yoichimasuzoe_2008_12_04_19_00-shot04_169-Track1-Frame46095-Face1
masayoshison	masayoshison_2004_02_27_19_00-shot27_123-Track1-Frame39849-Face2	masayoshison_2005_02_19_19_00-shot19_35-Track1-Frame7503-Face1
muneosuzuki	muneosuzuki_2002_08_01_19_00-shot01_66-Track3-Frame20805-Face3	muneosuzuki_2002_08_21_19_00-shot21_54-Track1-Frame13750-Face1
akihito	akihito_2002_12_25_19_00-shot25_117-Track1-Frame33505-Face1	akihito_2009_01_29_19_00-shot29_44-Track1-Frame17751-Face1
bunmeiibuki	bunmeiibuki_2007_09_24_19_00-shot24_45-Track1-Frame9280-Face1	bunmeiibuki_2008_03_27_19_00-shot27_30-Track1-Frame11998-Face1
shin	shin_2009_03_05_19_00-shot05_181-Track1-Frame49062-Face1	shin_2009_07_07_19_00-shot07_212-Track1-Frame52697-Face1
naotokan	naotokan_2010_09_06_19_00-shot06_57-Track1-Frame26983-Face1	naotokan_2010_09_09_19_00-shot09_11-Track1-Frame7301-Face1
taroaso	taroaso_2006_09_26_19_00-shot26_209-Track2-Frame31488-Face1	taroaso_2008_10_01_19_00-shot01_157-Track1-Frame33691-Face1
shin	shin_2009_06_11_19_00-shot11_9-Track1-Frame1708-Face1	shin_2010_04_12_19_00-shot12_29-Track1-Frame7952-Face1
masako	masako_2004_04_02_19_00-shot02_136-Track1-Frame37297-Face1	masako_2004_06_25_19_00-shot25_185-Track1-Frame41802-Face1
mizuhofukushima	mizuhofukushima_2009_04_22_19_00-shot22_20-Track1-Frame6248-Face1	mizuhofukushima_2009_07_29_19_00-shot29_95-Track1-Frame26747-Face1
tetsuroyano	tetsuroyano_2008_07_10_19_00-shot10_10-Track2-Frame3515-Face1	tetsuroyano_2008_07_12_19_00-shot12_112-Track3-Frame26285-Face2
naotokan	naotokan_2009_03_26_19_00-shot26_98-Track3-Frame28309-Face1	naotokan_2010_06_17_19_00-shot17_103-Track1-Frame26767-Face1
shohakuho	shohakuho_2006_07_07_19_00-shot07_187-Track2-Frame47126-Face1	shohakuho_2010_09_20_19_00-shot20_81-Track1-Frame35313-Face1
yoshimiwatanabe	yoshimiwatanabe_2009_08_08_19_00-shot08_64-Track2-Frame19550-Face1	yoshimiwatanabe_2010_06_11_19_00-shot11_91-Track1-Frame18351-Face1
syunsaito	syunsaito_2008_02_07_19_00-shot07_42-Track1-Frame12727-Face1	syunsaito_2008_09_14_19_00-shot14_94-Track7-Frame25057-Face1
shinrikyoaum	shinrikyoaum_2004_02_26_19_00-shot26_59-Track1-Frame13237-Face1	shinrikyoaum_2006_02_20_19_00-shot20_9-Track2-Frame2898-Face1
hidekimatsui	hidekimatsui_2003_06_21_19_00-shot21_189-Track1-Frame44002-Face1	hidekimatsui_2004_03_18_19_00-shot18_202-Track1-Frame43552-Face1
johnkerry	johnkerry_2007_11_21_19_00-shot21_67-Track1-Frame23334-Face1	johnkerry_2007_12_30_19_00-shot30_125-Track1-Frame27845-Face1
akinoriasashoryu	akinoriasashoryu_2007_03_24_19_00-shot24_152-Track1-Frame39765-Face2	akinoriasashoryu_2009_01_26_19_00-shot26_167-Track2-Frame44919-Face1
hidekimatsui	hidekimatsui_2003_06_14_19_00-shot14_194-Track1-Frame44169-Face1	hidekimatsui_2005_06_21_19_00-shot21_147-Track1-Frame46751-Face1
yukiohatoyama	yukiohatoyama_2010_03_04_19_00-shot04_9-Track1-Frame2919-Face1	yukiohatoyama_2010_05_04_19_00-shot04_48-Track1-Frame9874-Face1
naokotakahashi	naokotakahashi_2007_11_10_19_00-shot10_183-Track1-Frame46995-Face1	naokotakahashi_2008_10_28_19_00-shot28_105-Track1-Frame16039-Face1
shohakuho	shohakuho_2010_07_25_19_00-shot25_40-Track4-Frame18024-Face1	shohakuho_2010_08_13_19_00-shot13_8-Track1-Frame1956-Face1
jintaohu	jintaohu_2006_10_08_19_00-shot08_11-Track1-Frame2977-Face1	jintaohu_2008_05_07_19_00-shot07_46-Track1-Frame5866-Face1
shigeofukuchi	shigeofukuchi_2010_07_06_19_00-shot06_36-Track1-Frame11940-Face1	shigeofukuchi_2010_10_14_19_00-shot14_60-Track1-Frame39925-Face1
yukioedano	yukioedano_2010_06_26_19_00-shot26_64-Track2-Frame17374-Face2	yukioedano_2011_01_14_19_00-shot14_73-Track2-Frame27673-Face3
seijimaehara	seijimaehara_2002_08_29_19_00-shot29_108-Track1-Frame34421-Face1	seijimaehara_2011_03_06_19_00-shot06_113-Track2-Frame50998-Face1
katsuyoshieto	katsuyoshieto_2008_07_23_19_00-shot23_89-Track1-Frame26413-Face1	katsuyoshieto_2008_09_04_19_00-shot04_92-Track5-Frame26522-Face1
jintaohu	jintaohu_2008_05_07_19_00-shot07_46-Track1-Frame5866-Face1	jintaohu_2008_10_24_19_00-shot24_76-Track1-Frame18575-Face1
zico	zico_2005_06_09_19_00-shot09_42-Track1-Frame6894-Face1	zico_2006_05_02_19_00-shot02_157-Track1-Frame42572-Face1
zico	zico_2003_06_02_19_00-shot02_197-Track1-Frame45930-Face1	zico_2006_06_26_19_00-shot26_130-Track1-Frame36879-Face2
masahikokhomura	masahikokhomura_2008_04_25_19_00-shot25_106-Track3-Frame19792-Face1	masahikokhomura_2008_06_24_19_00-shot24_111-Track1-Frame35251-Face1
junichirokoizumi	junichirokoizumi_2001_10_20_19_00-shot20_115-Track1-Frame36414-Face1	junichirokoizumi_2006_04_28_19_00-shot28_131-Track1-Frame34484-Face1
yukiohatoyama	yukiohatoyama_2009_09_16_19_00-shot16_186-Track1-Frame30094-Face1	yukiohatoyama_2010_03_30_19_00-shot30_33-Track1-Frame7157-Face1
monalisa	monalisa_2006_04_27_19_00-shot27_77-Track1-Frame21810-Face1	monalisa_2008_01_15_19_00-shot15_5-Track1-Frame703-Face1
nicolassakozy	nicolassakozy_2005_11_12_19_00-shot12_8-Track1-Frame1331-Face1	nicolassakozy_2008_07_08_19_00-shot08_42-Track1-Frame14114-Face1
saenakarai	saenakarai_2005_03_01_19_00-shot01_147-Track1-Frame52330-Face1	saenakarai_2009_01_27_19_00-shot27_172-Track1-Frame49312-Face1
shizukakamei	shizukakamei_2007_06_19_19_00-shot19_69-Track1-Frame21600-Face1	shizukakamei_2010_03_17_19_00-shot17_65-Track1-Frame18041-Face1
naruhito	naruhito_2004_05_10_19_00-shot10_175-Track1-Frame34605-Face1	naruhito_2004_05_27_19_00-shot27_94-Track1-Frame31397-Face1
masahikokhomura	masahikokhomura_2007_11_08_19_00-shot08_100-Track1-Frame28028-Face1	masahikokhomura_2008_04_25_19_00-shot25_106-Track3-Frame19792-Face1
sadakazutanigaki	sadakazutanigaki_2010_04_04_19_00-shot04_62-Track1-Frame17881-Face1	sadakazutanigaki_2010_10_26_19_00-shot26_45-Track1-Frame14311-Face1
masajuroshiokawa	masajuroshiokawa_2001_07_04_19_00-shot04_107-Track1-Frame31683-Face1	masajuroshiokawa_2001_12_25_19_00-shot25_53-Track1-Frame22547-Face1
colinpowell	colinpowell_2003_03_18_19_00-shot18_20-Track1-Frame6782-Face1	colinpowell_2004_09_14_19_00-shot14_86-Track1-Frame27480-Face1
yujiang	yujiang_2006_07_11_19_00-shot11_36-Track1-Frame12773-Face1	yujiang_2008_04_08_19_00-shot08_127-Track1-Frame28112-Face1
takeshiokada	takeshiokada_2009_06_18_19_00-shot18_180-Track1-Frame48301-Face1	takeshiokada_2009_11_19_19_00-shot19_218-Track1-Frame48266-Face2
georgebush	georgebush_2003_03_18_19_00-shot18_16-Track1-Frame5369-Face1	georgebush_2006_02_01_19_00-shot01_13-Track1-Frame2144-Face1
azumakoshiishi	azumakoshiishi_2007_12_13_19_00-shot13_35-Track2-Frame8885-Face2	azumakoshiishi_2010_06_10_19_00-shot10_57-Track1-Frame12524-Face1
yoshimiwatanabe	yoshimiwatanabe_2007_08_31_19_00-shot31_161-Track1-Frame36656-Face1	yoshimiwatanabe_2010_06_26_19_00-shot26_69-Track1-Frame24015-Face1
vladimirputin	vladimirputin_2001_03_23_19_00-shot23_49-Track1-Frame18164-Face2	vladimirputin_2001_06_15_19_00-shot15_102-Track1-Frame38435-Face1
takafumihorie	takafumihorie_2005_02_16_19_00-shot16_4-Track1-Frame1625-Face1	takafumihorie_2007_03_20_19_00-shot20_82-Track1-Frame29396-Face1
moo-hyunroh	moo-hyunroh_2004_03_11_19_00-shot11_127-Track1-Frame26424-Face1	moo-hyunroh_2006_10_09_19_00-shot09_105-Track1-Frame21410-Face1
myung-baklee	myung-baklee_2009_06_28_19_00-shot28_4-Track1-Frame366-Face1	myung-baklee_2010_05_26_19_00-shot26_57-Track1-Frame15253-Face1
akihiroohta	akihiroohta_2007_08_07_19_00-shot07_72-Track1-Frame11085-Face1	akihiroohta_2008_01_11_19_00-shot11_39-Track2-Frame8001-Face2
akihito	akihito_2005_01_01_19_00-shot01_86-Track1-Frame19811-Face1	akihito_2006_01_02_19_00-shot02_37-Track1-Frame9693-Face1
takakodoi	takakodoi_2001_09_27_19_00-shot27_136-Track1-Frame42628-Face1	takakodoi_2002_03_11_19_00-shot11_132-Track1-Frame36663-Face1
kosukekitajima	kosukekitajima_2007_03_04_19_00-shot04_179-Track1-Frame41569-Face1	kosukekitajima_2009_03_31_19_00-shot31_172-Track2-Frame45754-Face1
seijimaehara	seijimaehara_2005_09_21_19_00-shot21_33-Track1-Frame8536-Face2	seijimaehara_2010_04_23_19_00-shot23_35-Track1-Frame15858-Face1
takeshiokada	takeshiokada_2006_06_12_19_00-shot12_58-Track1-Frame18148-Face1	takeshiokada_2009_06_18_19_00-shot18_180-Track1-Frame48301-Face1
yoshitosengoku	yoshitosengoku_2010_08_25_19_00-shot25_68-Track2-Frame18231-Face2	yoshitosengoku_2010_09_30_19_00-shot30_89-Track1-Frame40854-Face1
pervezmusharraf	pervezmusharraf_2001_10_08_19_00-shot08_98-Track1-Frame35926-Face1	pervezmusharraf_2001_10_15_19_00-shot15_199-Track1-Frame73465-Face1
shin	shin_2003_08_09_19_00-shot09_148-Track1-Frame42724-Face1	shin_2009_06_29_19_00-shot29_10-Track1-Frame1939-Face1
aimiyazato	aimiyazato_2003_10_07_19_00-shot07_188-Track1-Frame44512-Face1	aimiyazato_2005_12_23_19_00-shot23_183-Track1-Frame45300-Face1
colinpowell	colinpowell_2001_03_22_19_00-shot22_116-Track2-Frame38946-Face1	colinpowell_2001_09_22_19_00-shot22_43-Track1-Frame13853-Face1
masaakishirakawa	masaakishirakawa_2009_06_16_19_00-shot16_71-Track1-Frame17709-Face1	masaakishirakawa_2009_12_02_19_00-shot02_87-Track2-Frame19740-Face1
jyun	jyun_2007_09_27_19_00-shot27_87-Track1-Frame15119-Face1	jyun_2008_10_07_19_00-shot07_104-Track1-Frame32481-Face1
hillaryclinton	hillaryclinton_2009_02_17_19_00-shot17_178-Track1-Frame34497-Face1	hillaryclinton_2010_01_08_19_00-shot08_90-Track4-Frame28487-Face1
ryutarohashimoto	ryutarohashimoto_2004_07_30_19_00-shot30_57-Track1-Frame20416-Face1	ryutarohashimoto_2004_11_30_19_00-shot30_42-Track1-Frame8279-Face2
yasuofukuda	yasuofukuda_2008_02_21_19_00-shot21_94-Track3-Frame28518-Face1	yasuofukuda_2008_08_11_19_00-shot11_170-Track1-Frame38920-Face1
pervezmusharraf	pervezmusharraf_2001_09_16_19_00-shot16_83-Track1-Frame21485-Face1	pervezmusharraf_2001_10_31_19_00-shot31_53-Track1-Frame12530-Face1
syunsaito	syunsaito_2008_02_04_19_00-shot04_119-Track1-Frame35573-Face1	syunsaito_2008_02_07_19_00-shot07_42-Track1-Frame12727-Face1
condoleezzarice	condoleezzarice_2005_03_18_19_00-shot18_114-Track1-Frame31316-Face1	condoleezzarice_2006_10_17_19_00-shot17_44-Track1-Frame11005-Face1
tonyblair	tonyblair_2001_10_10_19_00-shot10_125-Track1-Frame50133-Face1	tonyblair_2003_06_12_19_00-shot12_69-Track1-Frame21159-Face1
masahikokhomura	masahikokhomura_2007_06_07_19_00-shot07_31-Track1-Frame10888-Face1	masahikokhomura_2007_08_09_19_00-shot09_37-Track1-Frame11017-Face1
akiotoyoda	akiotoyoda_2009_01_20_19_00-shot20_137-Track1-Frame33933-Face1	akiotoyoda_2010_02_09_19_00-shot09_82-Track1-Frame16062-Face1
moo-hyunroh	moo-hyunroh_2006_10_09_19_00-shot09_105-Track1-Frame21410-Face1	moo-hyunroh_2007_04_18_19_00-shot18_141-Track1-Frame34737-Face1
takakodoi	takakodoi_2002_02_04_19_00-shot04_58-Track1-Frame14149-Face1	takakodoi_2002_03_11_19_00-shot11_132-Track1-Frame36663-Face1
ryutarohashimoto	ryutarohashimoto_2001_04_18_19_00-shot18_3-Track1-Frame440-Face1	ryutarohashimoto_2004_11_30_19_00-shot30_42-Track1-Frame8279-Face2
donaldrumsfeld	donaldrumsfeld_2003_11_07_19_00-shot07_27-Track1-Frame7927-Face1	donaldrumsfeld_2007_02_14_19_00-shot14_151-Track1-Frame40247-Face1
akitakasaiki	akitakasaiki_2008_09_06_19_00-shot06_150-Track1-Frame39266-Face1	akitakasaiki_2008_12_07_19_00-shot07_96-Track1-Frame35073-Face1
azumakoshiishi	azumakoshiishi_2009_09_12_19_00-shot12_59-Track2-Frame18696-Face1	azumakoshiishi_2010_11_17_19_00-shot17_29-Track1-Frame14217-Face1
shin	shin_2001_08_16_19_00-shot16_204-Track1-Frame45135-Face1	shin_2009_07_14_19_00-shot14_9-Track1-Frame2188-Face1
katsuyoshieto	katsuyoshieto_2008_07_21_19_00-shot21_4-Track1-Frame360-Face2	katsuyoshieto_2008_07_25_19_00-shot25_88-Track1-Frame23576-Face1
jintaohu	jintaohu_2008_05_10_19_00-shot10_60-Track1-Frame10619-Face1	jintaohu_2008_11_05_19_00-shot05_169-Track1-Frame35559-Face1
katsuyaokada	katsuyaokada_2005_07_19_19_00-shot19_66-Track1-Frame20382-Face1	katsuyaokada_2010_06_07_19_00-shot07_100-Track1-Frame17389-Face1
shinrikyoaum	shinrikyoaum_2004_02_26_19_00-shot26_59-Track1-Frame13237-Face1	shinrikyoaum_2006_09_15_19_00-shot15_59-Track1-Frame13672-Face1
katsuyoshieto	katsuyoshieto_2008_07_08_19_00-shot08_93-Track1-Frame29494-Face2	katsuyoshieto_2008_07_18_19_00-shot18_77-Track1-Frame21572-Face1
tetsuroyano	tetsuroyano_2008_07_05_19_00-shot05_140-Track1-Frame34925-Face1	tetsuroyano_2008_07_13_19_00-shot13_1-Track2-Frame262-Face2
ryoishikawa	ryoishikawa_2008_01_10_19_00-shot10_144-Track1-Frame28571-Face1	ryoishikawa_2011_01_04_19_00-shot04_83-Track4-Frame48671-Face1
nicolassakozy	nicolassakozy_2005_11_12_19_00-shot12_8-Track1-Frame1331-Face1	nicolassakozy_2007_05_03_19_00-shot03_64-Track1-Frame16252-Face1
shizukakamei	shizukakamei_2001_04_18_19_00-shot18_15-Track1-Frame4653-Face2	shizukakamei_2010_04_27_19_00-shot27_43-Track1-Frame16108-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_68-Track1-Frame17882-Face1	masakunimurakami_2001_06_29_19_00-shot29_74-Track1-Frame30986-Face1
aifukuhara	aifukuhara_2003_05_27_19_00-shot27_178-Track1-Frame45107-Face2	aifukuhara_2004_08_22_19_00-shot22_145-Track1-Frame29157-Face1
georgebush	georgebush_2003_02_11_19_00-shot11_10-Track1-Frame3797-Face1	georgebush_2003_03_20_19_00-shot20_9-Track1-Frame946-Face1
kazuoshii	kazuoshii_2005_01_04_19_00-shot04_155-Track2-Frame35949-Face1	kazuoshii_2010_01_18_19_00-shot18_44-Track1-Frame8246-Face1
ichiroozawa	ichiroozawa_2007_07_10_19_00-shot10_73-Track1-Frame15613-Face2	ichiroozawa_2008_03_26_19_00-shot26_110-Track1-Frame24115-Face1
tetsuroyano	tetsuroyano_2008_07_25_19_00-shot25_89-Track1-Frame23888-Face1	tetsuroyano_2008_09_04_19_00-shot04_87-Track6-Frame24279-Face2
ebizoichikawa	ebizoichikawa_2010_12_08_19_00-shot08_56-Track1-Frame25167-Face1	ebizoichikawa_2010_12_28_19_00-shot28_79-Track1-Frame37570-Face1
makikotanaka	makikotanaka_2001_07_10_19_00-shot10_145-Track1-Frame36946-Face2	makikotanaka_2002_04_16_19_00-shot16_56-Track1-Frame17308-Face2
jyun	jyun_2008_02_07_19_00-shot07_41-Track2-Frame12069-Face1	jyun_2008_02_10_19_00-shot10_18-Track1-Frame4958-Face1
takeshikoizumi	takeshikoizumi_2008_11_25_19_00-shot25_46-Track3-Frame10990-Face1	takeshikoizumi_2008_12_04_19_00-shot04_84-Track1-Frame24911-Face1
hillaryclinton	hillaryclinton_2008_02_02_19_00-shot02_65-Track1-Frame25384-Face1	hillaryclinton_2009_01_14_19_00-shot14_48-Track1-Frame16481-Face1
masajuroshiokawa	masajuroshiokawa_2001_07_04_19_00-shot04_107-Track1-Frame31683-Face1	masajuroshiokawa_2001_08_28_19_00-shot28_40-Track1-Frame14229-Face1
georgebush	georgebush_2002_01_30_19_00-shot30_97-Track1-Frame27811-Face1	georgebush_2002_08_30_19_00-shot30_122-Track1-Frame40092-Face1
takenorikanzaki	takenorikanzaki_2006_07_20_19_00-shot20_88-Track1-Frame24611-Face2	takenorikanzaki_2007_06_07_19_00-shot07_93-Track1-Frame31650-Face2
takenorikanzaki	takenorikanzaki_2001_12_13_19_00-shot13_162-Track1-Frame51265-Face1	takenorikanzaki_2006_07_20_19_00-shot20_88-Track1-Frame24611-Face2
tetsuroyano	tetsuroyano_2008_07_10_19_00-shot10_10-Track2-Frame3515-Face1	tetsuroyano_2008_09_04_19_00-shot04_87-Track6-Frame24279-Face2
ichirosuzuki	ichirosuzuki_2004_10_04_19_00-shot04_63-Track1-Frame17074-Face1	ichirosuzuki_2004_10_11_19_00-shot11_153-Track3-Frame42940-Face1
ebizoichikawa	ebizoichikawa_2010_12_07_19_00-shot07_66-Track1-Frame42934-Face1	ebizoichikawa_2010_12_28_19_00-shot28_79-Track1-Frame37570-Face1
pervezmusharraf	pervezmusharraf_2001_10_15_19_00-shot15_199-Track1-Frame73465-Face1	pervezmusharraf_2001_12_22_19_00-shot22_102-Track1-Frame38741-Face1
marionjones	marionjones_2007_10_09_19_00-shot09_115-Track1-Frame33000-Face1	marionjones_2007_11_16_19_00-shot16_163-Track1-Frame40419-Face1
yoichimasuzoe	yoichimasuzoe_2007_08_27_19_00-shot27_134-Track2-Frame21189-Face1	yoichimasuzoe_2010_09_14_19_00-shot14_84-Track1-Frame33193-Face1
kaoruyosano	kaoruyosano_2008_09_04_19_00-shot04_21-Track1-Frame4145-Face1	kaoruyosano_2009_07_06_19_00-shot06_7-Track1-Frame2525-Face1
masahikokhomura	masahikokhomura_2007_08_27_19_00-shot27_115-Track1-Frame17097-Face1	masahikokhomura_2008_06_27_19_00-shot27_33-Track1-Frame9205-Face1
jiabaowen	jiabaowen_2009_12_16_19_00-shot16_135-Track1-Frame34711-Face1	jiabaowen_2010_10_06_19_00-shot06_50-Track4-Frame22629-Face1
shin	shin_2009_12_03_19_00-shot03_8-Track3-Frame1806-Face1	shin_2010_04_08_19_00-shot08_208-Track1-Frame51720-Face1
katsuyoshieto	katsuyoshieto_2008_07_08_19_00-shot08_93-Track1-Frame29494-Face2	katsuyoshieto_2008_07_10_19_00-shot10_17-Track1-Frame7602-Face1
naotokan	naotokan_2010_06_26_19_00-shot26_40-Track1-Frame10120-Face1	naotokan_2011_01_12_19_00-shot12_21-Track1-Frame7719-Face1
yoichimasuzoe	yoichimasuzoe_2007_08_31_19_00-shot31_77-Track1-Frame13851-Face1	yoichimasuzoe_2009_07_14_19_00-shot14_13-Track1-Frame3743-Face1
wataruabe	wataruabe_2007_06_05_19_00-shot05_9-Track1-Frame1475-Face1	wataruabe_2007_07_12_19_00-shot12_130-Track1-Frame50543-Face1
junichirokoizumi	junichirokoizumi_2002_02_11_19_00-shot11_125-Track1-Frame24840-Face1	junichirokoizumi_2003_10_15_19_00-shot15_152-Track1-Frame35458-Face2
