10	300
akinoriasashoryu	akinoriasashoryu_2007_09_01_19_00-shot01_101-Track1-Frame28672-Face1	akinoriasashoryu_2008_01_13_19_00-shot13_41-Track1-Frame10434-Face1
akinoriasashoryu	akinoriasashoryu_2007_08_01_19_00-shot01_12-Track1-Frame1389-Face1	akinoriasashoryu_2007_08_06_19_00-shot06_197-Track1-Frame46926-Face1
aimiyazato	aimiyazato_2005_03_30_19_00-shot30_183-Track1-Frame42480-Face1	aimiyazato_2006_01_17_19_00-shot17_215-Track1-Frame50668-Face1
shintaroishihara	shintaroishihara_2007_04_09_19_00-shot09_41-Track1-Frame6079-Face1	shintaroishihara_2008_06_05_19_00-shot05_132-Track1-Frame40328-Face1
naotokan	naotokan_2004_05_10_19_00-shot10_9-Track1-Frame978-Face1	naotokan_2010_06_03_19_00-shot03_69-Track1-Frame19844-Face1
ebizoichikawa	ebizoichikawa_2010_12_07_19_00-shot07_66-Track1-Frame42734-Face1	ebizoichikawa_2010_12_28_19_00-shot28_79-Track1-Frame37654-Face1
colinpowell	colinpowell_2001_09_16_19_00-shot16_32-Track1-Frame6782-Face1	colinpowell_2001_10_12_19_00-shot12_164-Track1-Frame59076-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_32-Track1-Frame11529-Face1	masakunimurakami_2001_03_21_19_00-shot21_46-Track1-Frame13598-Face1
steffigraf	steffigraf_2007_04_21_19_00-shot21_128-Track1-Frame29930-Face1	steffigraf_2007_04_22_19_00-shot22_98-Track1-Frame27104-Face1
barutokaito	barutokaito_2010_03_29_19_00-shot29_170-Track1-Frame44670-Face1	barutokaito_2010_03_31_19_00-shot31_172-Track1-Frame45839-Face1
saenakarai	saenakarai_2004_08_16_19_00-shot16_252-Track1-Frame49791-Face1	saenakarai_2005_06_17_19_00-shot17_214-Track1-Frame48886-Face1
johnkerry	johnkerry_2004_03_03_19_00-shot03_66-Track2-Frame22476-Face1	johnkerry_2007_11_21_19_00-shot21_5-Track1-Frame725-Face1
jianchaoliu	jianchaoliu_2005_03_03_19_00-shot03_188-Track1-Frame38795-Face1	jianchaoliu_2007_01_09_19_00-shot09_51-Track1-Frame11110-Face1
aimiyazato	aimiyazato_2003_10_07_19_00-shot07_186-Track1-Frame44298-Face1	aimiyazato_2006_01_17_19_00-shot17_217-Track1-Frame50967-Face1
shohakuho	shohakuho_2009_05_23_19_00-shot23_7-Track1-Frame713-Face1	shohakuho_2010_09_24_19_00-shot24_126-Track1-Frame49167-Face1
osamabinladen	osamabinladen_2001_11_20_19_00-shot20_46-Track1-Frame17126-Face2	osamabinladen_2011_05_02_19_00-shot02_16-Track1-Frame7560-Face1
myung-baklee	myung-baklee_2008_01_17_19_00-shot17_131-Track1-Frame35148-Face1	myung-baklee_2010_05_20_19_00-shot20_78-Track1-Frame16269-Face1
yoichimasuzoe	yoichimasuzoe_2007_12_04_19_00-shot04_91-Track1-Frame25460-Face1	yoichimasuzoe_2010_04_22_19_00-shot22_75-Track1-Frame19015-Face1
jiwoochoi	jiwoochoi_2004_03_22_19_00-shot22_139-Track1-Frame29449-Face1	jiwoochoi_2004_07_22_19_00-shot22_99-Track1-Frame22927-Face1
akitakasaiki	akitakasaiki_2008_06_07_19_00-shot07_158-Track1-Frame39736-Face1	akitakasaiki_2008_09_06_19_00-shot06_150-Track1-Frame39238-Face1
yujiang	yujiang_2007_01_30_19_00-shot30_73-Track1-Frame18867-Face1	yujiang_2008_04_30_19_00-shot30_187-Track1-Frame40281-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_68-Track1-Frame17797-Face1	masakunimurakami_2001_06_29_19_00-shot29_74-Track1-Frame30997-Face1
shinrikyoaum	shinrikyoaum_2004_07_07_19_00-shot07_67-Track1-Frame17635-Face1	shinrikyoaum_2004_07_07_19_00-shot07_68-Track1-Frame17859-Face1
yukioedano	yukioedano_2010_11_17_19_00-shot17_39-Track1-Frame19634-Face1	yukioedano_2011_01_14_19_00-shot14_73-Track2-Frame27521-Face2
sachiyonomura	sachiyonomura_2001_12_04_19_00-shot04_60-Track1-Frame17368-Face2	sachiyonomura_2001_12_26_19_00-shot26_138-Track1-Frame41171-Face1
saenakarai	saenakarai_2004_10_07_19_00-shot07_198-Track1-Frame47527-Face1	saenakarai_2005_06_07_19_00-shot07_205-Track1-Frame52218-Face1
ichiroozawa	ichiroozawa_2007_11_22_19_00-shot22_39-Track1-Frame5106-Face1	ichiroozawa_2008_09_08_19_00-shot08_45-Track1-Frame12876-Face2
gloriamacapagal-arroyo	gloriamacapagal-arroyo_2006_02_25_19_00-shot25_85-Track1-Frame25965-Face1	gloriamacapagal-arroyo_2006_02_25_19_00-shot25_89-Track1-Frame26226-Face1
hideohigashikokubaru	hideohigashikokubaru_2010_07_15_19_00-shot15_18-Track1-Frame5379-Face1	hideohigashikokubaru_2011_01_20_19_00-shot20_104-Track1-Frame38287-Face2
takafumihorie	takafumihorie_2005_02_08_19_00-shot08_135-Track1-Frame32239-Face1	takafumihorie_2005_10_14_19_00-shot14_112-Track1-Frame24443-Face1
yasuofukuda	yasuofukuda_2007_09_24_19_00-shot24_105-Track1-Frame19987-Face1	yasuofukuda_2008_01_21_19_00-shot21_19-Track1-Frame3409-Face1
katsuyaokada	katsuyaokada_2003_12_05_19_00-shot05_55-Track1-Frame17023-Face1	katsuyaokada_2004_05_18_19_00-shot18_29-Track1-Frame4282-Face1
ryoishikawa	ryoishikawa_2009_01_04_19_00-shot04_159-Track1-Frame47377-Face1	ryoishikawa_2009_12_07_19_00-shot07_162-Track1-Frame46100-Face1
sennichihoshino	sennichihoshino_2001_12_15_19_00-shot15_10-Track1-Frame1289-Face1	sennichihoshino_2001_12_15_19_00-shot15_180-Track1-Frame45969-Face1
kazuoshii	kazuoshii_2003_01_04_19_00-shot04_91-Track1-Frame29367-Face1	kazuoshii_2007_07_11_19_00-shot11_29-Track1-Frame5546-Face1
hidekimatsui	hidekimatsui_2004_10_18_19_00-shot18_184-Track1-Frame45849-Face1	hidekimatsui_2005_07_06_19_00-shot06_175-Track1-Frame47201-Face1
akihito	akihito_2002_12_28_19_00-shot28_85-Track1-Frame29681-Face1	akihito_2009_12_23_19_00-shot23_70-Track1-Frame18099-Face1
aimiyazato	aimiyazato_2005_12_08_19_00-shot08_207-Track1-Frame46655-Face1	aimiyazato_2006_01_17_19_00-shot17_215-Track1-Frame50668-Face1
jyun	jyun_2008_02_07_19_00-shot07_41-Track2-Frame12071-Face1	jyun_2008_10_07_19_00-shot07_100-Track1-Frame31247-Face1
akinoriasashoryu	akinoriasashoryu_2007_08_01_19_00-shot01_12-Track1-Frame1389-Face1	akinoriasashoryu_2009_09_27_19_00-shot27_75-Track1-Frame24335-Face1
yoichimasuzoe	yoichimasuzoe_2009_07_14_19_00-shot14_13-Track1-Frame3754-Face1	yoichimasuzoe_2010_09_14_19_00-shot14_84-Track1-Frame33198-Face1
hillaryclinton	hillaryclinton_2008_02_06_19_00-shot06_102-Track1-Frame26998-Face1	hillaryclinton_2008_02_09_19_00-shot09_125-Track2-Frame36789-Face2
takeshikoizumi	takeshikoizumi_2008_11_23_19_00-shot23_135-Track1-Frame30742-Face1	takeshikoizumi_2008_11_23_19_00-shot23_84-Track3-Frame15916-Face1
takafumihorie	takafumihorie_2006_01_28_19_00-shot28_51-Track1-Frame14767-Face2	takafumihorie_2006_02_23_19_00-shot23_180-Track1-Frame46294-Face1
ryoishikawa	ryoishikawa_2008_01_10_19_00-shot10_144-Track1-Frame28501-Face1	ryoishikawa_2009_02_14_19_00-shot14_158-Track1-Frame42166-Face1
shizukaarakawa	shizukaarakawa_2006_02_22_19_00-shot22_9-Track1-Frame1247-Face1	shizukaarakawa_2006_02_25_19_00-shot25_71-Track1-Frame16601-Face1
ichiroozawa	ichiroozawa_2010_01_21_19_00-shot21_2-Track1-Frame125-Face2	ichiroozawa_2010_04_27_19_00-shot27_88-Track2-Frame29140-Face2
georgebush	georgebush_2002_10_17_19_00-shot17_18-Track1-Frame7718-Face1	georgebush_2003_02_11_19_00-shot11_3-Track1-Frame671-Face1
osamabinladen	osamabinladen_2001_09_25_19_00-shot25_50-Track1-Frame15968-Face1	osamabinladen_2001_11_17_19_00-shot17_44-Track1-Frame14834-Face1
junichirokoizumi	junichirokoizumi_2002_03_25_19_00-shot25_62-Track1-Frame18306-Face1	junichirokoizumi_2005_08_01_19_00-shot01_89-Track1-Frame23536-Face1
muneosuzuki	muneosuzuki_2002_05_15_19_00-shot15_72-Track1-Frame28328-Face1	muneosuzuki_2002_06_16_19_00-shot16_9-Track1-Frame3259-Face1
colinpowell	colinpowell_2001_09_16_19_00-shot16_32-Track1-Frame6782-Face1	colinpowell_2003_02_25_19_00-shot25_164-Track1-Frame34301-Face1
akihiroohta	akihiroohta_2007_07_11_19_00-shot11_24-Track1-Frame4687-Face1	akihiroohta_2008_09_29_19_00-shot29_62-Track1-Frame11848-Face1
akihito	akihito_2005_01_01_19_00-shot01_86-Track1-Frame19812-Face1	akihito_2006_06_06_19_00-shot06_99-Track1-Frame29391-Face1
johnmccain	johnmccain_2008_09_05_19_00-shot05_105-Track1-Frame27171-Face1	johnmccain_2008_09_05_19_00-shot05_82-Track1-Frame22761-Face1
monalisa	monalisa_2008_01_15_19_00-shot15_4-Track1-Frame643-Face1	monalisa_2008_01_15_19_00-shot15_69-Track3-Frame24609-Face1
mizuhofukushima	mizuhofukushima_2003_11_15_19_00-shot15_9-Track1-Frame1925-Face1	mizuhofukushima_2010_05_30_19_00-shot30_28-Track1-Frame6534-Face2
shoichinakagawa	shoichinakagawa_2005_01_20_19_00-shot20_111-Track1-Frame36656-Face1	shoichinakagawa_2009_02_17_19_00-shot17_105-Track1-Frame20736-Face1
pervezmusharraf	pervezmusharraf_2001_10_15_19_00-shot15_199-Track1-Frame73470-Face1	pervezmusharraf_2001_12_22_19_00-shot22_103-Track1-Frame38901-Face1
shinzoabe	shinzoabe_2007_05_28_19_00-shot28_4-Track1-Frame287-Face1	shinzoabe_2007_09_09_19_00-shot09_11-Track1-Frame2622-Face1
takakodoi	takakodoi_2001_08_14_19_00-shot14_44-Track1-Frame11248-Face1	takakodoi_2002_03_17_19_00-shot17_10-Track1-Frame4987-Face1
aifukuhara	aifukuhara_2002_12_23_19_00-shot23_163-Track1-Frame39654-Face1	aifukuhara_2006_05_03_19_00-shot03_195-Track1-Frame47114-Face1
shigeofukuchi	shigeofukuchi_2008_01_25_19_00-shot25_81-Track1-Frame28068-Face1	shigeofukuchi_2010_10_14_19_00-shot14_60-Track1-Frame40031-Face1
makikotanaka	makikotanaka_2001_11_03_19_00-shot03_107-Track1-Frame33155-Face1	makikotanaka_2002_02_01_19_00-shot01_79-Track1-Frame16256-Face1
shoichinakagawa	shoichinakagawa_2009_02_16_19_00-shot16_95-Track1-Frame21684-Face1	shoichinakagawa_2009_02_17_19_00-shot17_103-Track1-Frame20189-Face1
daisuketakahashi	daisuketakahashi_2010_02_17_19_00-shot17_32-Track1-Frame4949-Face1	daisuketakahashi_2010_03_30_19_00-shot30_166-Track1-Frame44822-Face1
hillaryclinton	hillaryclinton_2009_01_14_19_00-shot14_5-Track1-Frame1021-Face1	hillaryclinton_2010_01_08_19_00-shot08_90-Track4-Frame28570-Face2
sennichihoshino	sennichihoshino_2001_12_15_19_00-shot15_177-Track3-Frame45574-Face2	sennichihoshino_2001_12_15_19_00-shot15_180-Track1-Frame45969-Face1
akihito	akihito_2004_06_29_19_00-shot29_102-Track1-Frame27622-Face1	akihito_2006_09_10_19_00-shot10_21-Track1-Frame3577-Face1
kazuoshii	kazuoshii_2004_01_05_19_00-shot05_68-Track1-Frame18425-Face1	kazuoshii_2009_03_12_19_00-shot12_26-Track1-Frame9079-Face1
natsuoyamaguchi	natsuoyamaguchi_2010_05_07_19_00-shot07_52-Track1-Frame14298-Face1	natsuoyamaguchi_2010_05_23_19_00-shot23_91-Track1-Frame23191-Face1
makikotanaka	makikotanaka_2001_05_23_19_00-shot23_120-Track1-Frame34119-Face1	makikotanaka_2001_07_10_19_00-shot10_147-Track1-Frame37171-Face1
tsuyoshiyamashita	tsuyoshiyamashita_2007_10_30_19_00-shot30_48-Track1-Frame12829-Face1	tsuyoshiyamashita_2007_11_22_19_00-shot22_69-Track1-Frame13470-Face1
donaldrumsfeld	donaldrumsfeld_2003_03_12_19_00-shot12_50-Track1-Frame15122-Face1	donaldrumsfeld_2003_11_15_19_00-shot15_2-Track1-Frame737-Face2
sadakazutanigaki	sadakazutanigaki_2009_09_29_19_00-shot29_126-Track2-Frame30178-Face1	sadakazutanigaki_2010_05_07_19_00-shot07_50-Track1-Frame13348-Face2
donaldrumsfeld	donaldrumsfeld_2001_12_08_19_00-shot08_89-Track3-Frame24441-Face1	donaldrumsfeld_2003_04_10_19_00-shot10_116-Track1-Frame26852-Face1
hidekimatsui	hidekimatsui_2005_08_23_19_00-shot23_172-Track1-Frame46681-Face1	hidekimatsui_2005_10_06_19_00-shot06_173-Track1-Frame46117-Face1
hidekimatsui	hidekimatsui_2003_01_29_19_00-shot29_166-Track2-Frame48159-Face2	hidekimatsui_2005_07_06_19_00-shot06_175-Track1-Frame47201-Face1
akiotoyoda	akiotoyoda_2009_01_20_19_00-shot20_137-Track1-Frame33843-Face1	akiotoyoda_2010_02_09_19_00-shot09_20-Track1-Frame3842-Face2
takeshiokada	takeshiokada_2006_06_12_19_00-shot12_42-Track1-Frame12348-Face1	takeshiokada_2006_06_12_19_00-shot12_51-Track1-Frame16173-Face1
kaoriiida	kaoriiida_2008_01_18_19_00-shot18_41-Track1-Frame10006-Face1	kaoriiida_2008_01_18_19_00-shot18_49-Track1-Frame12037-Face1
hillaryclinton	hillaryclinton_2009_01_14_19_00-shot14_5-Track1-Frame1021-Face1	hillaryclinton_2009_02_21_19_00-shot21_44-Track1-Frame8808-Face1
moo-hyunroh	moo-hyunroh_2002_12_20_19_00-shot20_79-Track1-Frame30039-Face1	moo-hyunroh_2002_12_25_19_00-shot25_126-Track1-Frame36312-Face2
akiotoyoda	akiotoyoda_2009_06_25_19_00-shot25_90-Track1-Frame26507-Face1	akiotoyoda_2010_02_25_19_00-shot25_45-Track5-Frame11982-Face1
masako	masako_2004_06_25_19_00-shot25_185-Track1-Frame41888-Face1	masako_2005_02_23_19_00-shot23_129-Track1-Frame32789-Face1
yumieyoshiba	yumieyoshiba_2006_02_04_19_00-shot04_241-Track1-Frame49789-Face1	yumieyoshiba_2009_03_15_19_00-shot15_209-Track1-Frame48796-Face1
yoshimiwatanabe	yoshimiwatanabe_2007_08_31_19_00-shot31_161-Track1-Frame36987-Face1	yoshimiwatanabe_2009_01_16_19_00-shot16_76-Track1-Frame22631-Face1
mizuhofukushima	mizuhofukushima_2003_11_15_19_00-shot15_85-Track1-Frame29877-Face1	mizuhofukushima_2009_12_09_19_00-shot09_4-Track1-Frame395-Face1
shin	shin_2009_08_10_19_00-shot10_104-Track1-Frame29283-Face1	shin_2010_01_21_19_00-shot21_181-Track1-Frame52852-Face1
colinpowell	colinpowell_2004_04_21_19_00-shot21_33-Track1-Frame7488-Face1	colinpowell_2004_09_14_19_00-shot14_86-Track1-Frame27498-Face1
akihiroohta	akihiroohta_2008_01_18_19_00-shot18_78-Track1-Frame18413-Face1	akihiroohta_2009_02_27_19_00-shot27_41-Track1-Frame9143-Face1
jong-ilkim	jong-ilkim_2002_09_16_19_00-shot16_99-Track2-Frame35615-Face1	jong-ilkim_2006_07_17_19_00-shot17_70-Track1-Frame17322-Face1
shinrikyoaum	shinrikyoaum_2004_07_07_19_00-shot07_68-Track1-Frame17859-Face1	shinrikyoaum_2006_09_15_19_00-shot15_5-Track2-Frame430-Face1
masako	masako_2004_04_02_19_00-shot02_136-Track1-Frame37216-Face1	masako_2005_02_23_19_00-shot23_129-Track1-Frame32789-Face1
yumieyoshiba	yumieyoshiba_2006_01_28_19_00-shot28_182-Track1-Frame49598-Face1	yumieyoshiba_2006_02_04_19_00-shot04_241-Track1-Frame49789-Face1
jianchaoliu	jianchaoliu_2005_11_08_19_00-shot08_68-Track1-Frame19773-Face1	jianchaoliu_2006_10_11_19_00-shot11_72-Track1-Frame22711-Face1
bunmeiibuki	bunmeiibuki_2008_09_19_19_00-shot19_130-Track1-Frame36077-Face1	bunmeiibuki_2009_07_02_19_00-shot02_49-Track2-Frame12826-Face1
yoshitosengoku	yoshitosengoku_2010_08_15_19_00-shot15_66-Track1-Frame19787-Face1	yoshitosengoku_2010_09_08_19_00-shot08_126-Track1-Frame30110-Face1
yoichimasuzoe	yoichimasuzoe_2008_01_19_19_00-shot19_4-Track1-Frame532-Face1	yoichimasuzoe_2008_03_14_19_00-shot14_14-Track1-Frame5116-Face1
nicolassakozy	nicolassakozy_2005_11_12_19_00-shot12_85-Track1-Frame30241-Face1	nicolassakozy_2007_05_03_19_00-shot03_64-Track1-Frame15923-Face1
martinahingis	martinahingis_2006_01_30_19_00-shot30_172-Track1-Frame42947-Face1	martinahingis_2006_02_01_19_00-shot01_192-Track1-Frame48654-Face1
sachiyonomura	sachiyonomura_2001_12_04_19_00-shot04_60-Track1-Frame17368-Face2	sachiyonomura_2001_12_05_19_00-shot05_86-Track1-Frame33395-Face1
junichirokoizumi	junichirokoizumi_2003_09_08_19_00-shot08_2-Track1-Frame1662-Face1	junichirokoizumi_2003_10_02_19_00-shot02_74-Track1-Frame28260-Face1
masahikokhomura	masahikokhomura_2007_08_09_19_00-shot09_37-Track1-Frame11014-Face1	masahikokhomura_2008_06_27_19_00-shot27_33-Track1-Frame9057-Face1
akihito	akihito_2006_06_06_19_00-shot06_101-Track1-Frame29970-Face1	akihito_2006_06_06_19_00-shot06_99-Track1-Frame29391-Face1
jintaohu	jintaohu_2006_10_06_19_00-shot06_60-Track1-Frame18446-Face1	jintaohu_2008_05_06_19_00-shot06_60-Track1-Frame8066-Face1
kotomitsuki	kotomitsuki_2001_05_18_19_00-shot18_146-Track1-Frame41652-Face1	kotomitsuki_2010_06_14_19_00-shot14_22-Track1-Frame3048-Face1
takafumihorie	takafumihorie_2006_05_10_19_00-shot10_25-Track1-Frame5324-Face1	takafumihorie_2006_12_22_19_00-shot22_33-Track1-Frame10098-Face1
yumieyoshiba	yumieyoshiba_2006_02_11_19_00-shot11_213-Track1-Frame50821-Face1	yumieyoshiba_2006_04_15_19_00-shot15_172-Track1-Frame49748-Face1
moo-hyunroh	moo-hyunroh_2003_06_07_19_00-shot07_91-Track1-Frame17539-Face1	moo-hyunroh_2009_05_23_19_00-shot23_105-Track1-Frame23407-Face1
takenorikanzaki	takenorikanzaki_2001_07_11_19_00-shot11_46-Track1-Frame8979-Face1	takenorikanzaki_2002_05_15_19_00-shot15_51-Track1-Frame18818-Face1
jintaohu	jintaohu_2006_10_03_19_00-shot03_158-Track2-Frame44445-Face2	jintaohu_2006_10_06_19_00-shot06_60-Track1-Frame18446-Face1
akihiroohta	akihiroohta_2006_09_30_19_00-shot30_81-Track1-Frame18405-Face1	akihiroohta_2009_02_27_19_00-shot27_41-Track1-Frame9143-Face1
takeshikoizumi	takeshikoizumi_2008_11_29_19_00-shot29_148-Track1-Frame37599-Face1	takeshikoizumi_2008_12_04_19_00-shot04_84-Track1-Frame24884-Face1
sennichihoshino	sennichihoshino_2001_12_15_19_00-shot15_177-Track3-Frame45574-Face2	sennichihoshino_2001_12_15_19_00-shot15_178-Track1-Frame45688-Face1
akiotoyoda	akiotoyoda_2009_01_20_19_00-shot20_136-Track1-Frame33473-Face2	akiotoyoda_2009_01_20_19_00-shot20_137-Track1-Frame33843-Face1
sadakazutanigaki	sadakazutanigaki_2010_06_17_19_00-shot17_84-Track1-Frame20401-Face1	sadakazutanigaki_2010_08_11_19_00-shot11_93-Track1-Frame28972-Face1
akitakasaiki	akitakasaiki_2008_06_07_19_00-shot07_153-Track1-Frame38735-Face1	akitakasaiki_2008_09_06_19_00-shot06_150-Track1-Frame39238-Face1
masako	masako_2002_12_05_19_00-shot05_222-Track1-Frame38154-Face1	masako_2002_12_05_19_00-shot05_223-Track1-Frame38383-Face1
shohakuho	shohakuho_2006_03_27_19_00-shot27_208-Track1-Frame45848-Face1	shohakuho_2007_05_30_19_00-shot30_168-Track1-Frame44933-Face1
masahikokhomura	masahikokhomura_2008_06_27_19_00-shot27_33-Track1-Frame9057-Face1	masahikokhomura_2008_06_27_19_00-shot27_47-Track2-Frame12126-Face1
ryutarohashimoto	ryutarohashimoto_2001_04_18_19_00-shot18_23-Track1-Frame6022-Face1	ryutarohashimoto_2004_07_30_19_00-shot30_56-Track1-Frame20319-Face1
ryoishikawa	ryoishikawa_2009_01_04_19_00-shot04_159-Track1-Frame47377-Face1	ryoishikawa_2009_02_14_19_00-shot14_151-Track1-Frame41205-Face1
kazuoshii	kazuoshii_2001_05_17_19_00-shot17_31-Track1-Frame11072-Face1	kazuoshii_2009_09_30_19_00-shot30_121-Track1-Frame35672-Face3
zico	zico_2005_06_09_19_00-shot09_42-Track1-Frame6850-Face1	zico_2006_05_02_19_00-shot02_161-Track1-Frame44153-Face2
shigeofukuchi	shigeofukuchi_2008_01_25_19_00-shot25_89-Track1-Frame29602-Face1	shigeofukuchi_2010_07_06_19_00-shot06_37-Track1-Frame12120-Face1
gloriamacapagal-arroyo	gloriamacapagal-arroyo_2002_01_09_19_00-shot09_75-Track1-Frame22199-Face1	gloriamacapagal-arroyo_2002_01_09_19_00-shot09_76-Track1-Frame22307-Face1
naokotakahashi	naokotakahashi_2005_05_09_19_00-shot09_182-Track1-Frame47813-Face1	naokotakahashi_2005_11_18_19_00-shot18_182-Track1-Frame48457-Face1
jong-ilkim	jong-ilkim_2002_09_16_19_00-shot16_99-Track2-Frame35615-Face1	jong-ilkim_2005_07_10_19_00-shot10_60-Track1-Frame14293-Face2
yujiang	yujiang_2008_06_18_19_00-shot18_18-Track1-Frame8009-Face1	yujiang_2010_12_14_19_00-shot14_56-Track1-Frame41536-Face1
gloriamacapagal-arroyo	gloriamacapagal-arroyo_2002_01_09_19_00-shot09_75-Track1-Frame22199-Face1	gloriamacapagal-arroyo_2002_01_09_19_00-shot09_77-Track1-Frame22537-Face1
masayoshison	masayoshison_2005_02_19_19_00-shot19_35-Track1-Frame8312-Face1	masayoshison_2005_03_26_19_00-shot26_50-Track1-Frame10963-Face1
ichirosuzuki	ichirosuzuki_2009_03_25_19_00-shot25_75-Track1-Frame9665-Face1	ichirosuzuki_2009_07_14_19_00-shot14_161-Track1-Frame45756-Face1
gloriamacapagal-arroyo	gloriamacapagal-arroyo_2002_01_09_19_00-shot09_77-Track1-Frame22537-Face1	gloriamacapagal-arroyo_2006_02_25_19_00-shot25_85-Track1-Frame25965-Face1
bunmeiibuki	bunmeiibuki_2009_07_14_19_00-shot14_27-Track1-Frame6348-Face1	bunmeiibuki_2009_12_17_19_00-shot17_38-Track1-Frame11316-Face1
jintaohu	jintaohu_2006_10_06_19_00-shot06_60-Track1-Frame18446-Face1	jintaohu_2008_05_06_19_00-shot06_35-Track1-Frame4469-Face1
taroaso	taroaso_2001_04_18_19_00-shot18_20-Track1-Frame5772-Face1	taroaso_2009_06_20_19_00-shot20_1-Track1-Frame71-Face1
naotokan	naotokan_2002_12_10_19_00-shot10_82-Track1-Frame17474-Face1	naotokan_2007_09_20_19_00-shot20_45-Track1-Frame10326-Face1
tetsuroyano	tetsuroyano_2008_07_12_19_00-shot12_112-Track3-Frame26165-Face2	tetsuroyano_2008_09_04_19_00-shot04_87-Track6-Frame24251-Face2
colinpowell	colinpowell_2003_03_18_19_00-shot18_20-Track1-Frame6636-Face1	colinpowell_2004_09_14_19_00-shot14_82-Track1-Frame26894-Face1
barutokaito	barutokaito_2010_03_29_19_00-shot29_178-Track1-Frame45613-Face1	barutokaito_2010_03_29_19_00-shot29_179-Track1-Frame45865-Face2
jong-ilkim	jong-ilkim_2005_07_10_19_00-shot10_60-Track1-Frame14293-Face2	jong-ilkim_2006_07_10_19_00-shot10_33-Track1-Frame8748-Face1
monalisa	monalisa_2006_04_27_19_00-shot27_68-Track1-Frame19554-Face1	monalisa_2006_04_27_19_00-shot27_73-Track1-Frame20890-Face1
azumakoshiishi	azumakoshiishi_2010_02_04_19_00-shot04_100-Track1-Frame18700-Face2	azumakoshiishi_2010_11_04_19_00-shot04_43-Track1-Frame24413-Face1
sadakazutanigaki	sadakazutanigaki_2006_07_27_19_00-shot27_4-Track4-Frame361-Face1	sadakazutanigaki_2010_04_15_19_00-shot15_65-Track1-Frame18970-Face1
tsuyoshiyamashita	tsuyoshiyamashita_2006_07_17_19_00-shot17_63-Track1-Frame15962-Face1	tsuyoshiyamashita_2007_11_22_19_00-shot22_69-Track1-Frame13470-Face1
kosukekitajima	kosukekitajima_2004_01_07_19_00-shot07_150-Track1-Frame38677-Face2	kosukekitajima_2009_03_31_19_00-shot31_172-Track2-Frame45914-Face2
